"Group.1","Fd_H_SCH151","Fd_H_SCH152","Fd_H_SCH161","Fd_H_SCH162","Fd_R_SCH151","Fd_R_SCH152","Fd_R_SCH161","Fd_R_SCH162","Fd_V_SCH151","Fd_V_SCH152","Fd_V_SCH161","Fd_V_SCH162","Fs_H_SCH151","Fs_H_SCH152","Fs_H_SCH161","Fs_H_SCH162","Fs_R_SCH151","Fs_R_SCH152","Fs_R_SCH161","Fs_R_SCH162","Fs_V_SCH151","Fs_V_SCH152","Fs_V_SCH161","Fs_V_SCH162","Fv_H_Beau151","Fv_H_Beau152","Fv_H_Beau161","Fv_H_Beau162","Fv_H_Bodo151","Fv_H_Bodo152","Fv_H_Bodo161","Fv_H_Bodo162","Fv_H_Cad151","Fv_H_Cad152","Fv_H_Cad161","Fv_H_Cad162","Fv_H_Green161","Fv_H_Hali151","Fv_H_Hali152","Fv_H_Hali161","Fv_H_Lew151","Fv_H_Lew152","Fv_H_Lew161","Fv_H_Lew162","Fv_H_Lima151","Fv_H_Mine161","Fv_H_Mine162","Fv_H_Newp161","Fv_H_Newp162","Fv_H_Oban151","Fv_H_Oban152","Fv_H_Oban161","Fv_H_Oban162","Fv_H_SCH151","Fv_H_SCH152","Fv_H_SCH161","Fv_H_SCH162","Fv_H_SId151","Fv_H_Sid152","Fv_H_Tagus151","Fv_H_Tagus152","Fv_H_Torr151","Fv_H_Uum151","Fv_H_Uum152","Fv_H_Viana151","Fv_H_Viana152","Fv_H_Viana161","Fv_H_Viana162","Fv_H_WH151","Fv_H_WH152","Fv_R_Bodo151","Fv_R_Bodo152","Fv_R_Bodo161","Fv_R_Bodo162","Fv_R_Cad151","Fv_R_Cad152","Fv_R_Cad161","Fv_R_Cad162","Fv_R_Green161","Fv_R_Hali151","Fv_R_Hali152","Fv_R_Hali161","Fv_R_Lew151","Fv_R_Lew152","Fv_R_Lew161","Fv_R_Lew162","Fv_R_Lima151","Fv_R_Mine161","Fv_R_Mine162","Fv_R_Newp161","Fv_R_Newp162","Fv_R_Oban151","Fv_R_Oban152","Fv_R_Oban161","Fv_R_Oban162","Fv_R_SCH151","Fv_R_SCH152","Fv_R_SCH161","Fv_R_SCH162","Fv_R_SId151","Fv_R_Sid152","Fv_R_Tagus151","Fv_R_Tagus152","Fv_R_Torr151","Fv_R_Uum151","Fv_R_Uum152","Fv_R_Viana151","Fv_R_Viana152","Fv_R_Viana161","Fv_R_Viana162","Fv_R_WH151","Fv_R_WH152","Fv_V_Beau151","Fv_V_Beau152","Fv_V_Beau161","Fv_V_Beau162","Fv_V_Bodo151","Fv_V_Bodo152","Fv_V_Bodo161","Fv_V_Bodo162","Fv_V_Cad151","Fv_V_Cad152","Fv_V_Cad161","Fv_V_Cad162","Fv_V_Green161","Fv_V_Hali151","Fv_V_Hali152","Fv_V_Hali161","Fv_V_Lew151","Fv_V_Lew152","Fv_V_Lew161","Fv_V_Lew162","Fv_V_Lima151","Fv_V_Mine161","Fv_V_Mine162","Fv_V_Newp161","Fv_V_Newp162","Fv_V_Oban151","Fv_V_Oban152","Fv_V_Oban161","Fv_V_Oban162","Fv_V_SCH151","Fv_V_SCH152","Fv_V_SCH161","Fv_V_SCH162","Fv_V_SId151","Fv_V_Sid152","Fv_V_Tagus151","Fv_V_Tagus152","Fv_V_Torr151","Fv_V_Uum151","Fv_V_Uum152","Fv_V_Viana151","Fv_V_Viana152","Fv_V_Viana161","Fv_V_Viana162","Fv_V_WH151","Fv_V_WH152","H_Pu_B_SCH151","H_Pu_B_SCH152","H_Pu_B_SCH161","H_Pu_B_SCH162","H_Pu_H_SCH151","H_Pu_H_SCH152","H_Pu_H_SCH161","H_Pu_H_SCH162","Pu_B_Amo151","Pu_B_Amo152","Pu_B_Amo161","Pu_B_Amo162","Pu_B_Bodo151","Pu_B_Bodo152","Pu_B_Bodo161","Pu_B_Bodo162","Pu_B_Mine161","Pu_B_Mine162","Pu_B_Oban151","Pu_B_Oban152","Pu_B_Oban161","Pu_B_Oban162","Pu_B_SCH151","Pu_B_SCH152","Pu_B_SCH161","Pu_B_SCH162","Pu_B_Sid151","Pu_B_Sid152","Pu_H_Amo151","Pu_H_Amo152","Pu_H_Amo161","Pu_H_Amo162","Pu_H_Bodo151","Pu_H_Bodo152","Pu_H_Bodo161","Pu_H_Bodo162","Pu_H_Mine161","Pu_H_Mine162","Pu_H_Oban151","Pu_H_Oban152","Pu_H_Oban161","Pu_H_Oban162","Pu_H_SCH151","Pu_H_SCH152","Pu_H_SCH161","Pu_H_SCH162","Pu_H_Sid151","Pu_H_Sid152","domain","phylum","class","order","family","genus","species"
"t12148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,1,NA,1,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA
"t12164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina",NA
"t12174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,0.833333333333333,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA
"t12182",NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,0.833333333333333,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Litoreibacter",NA
"t12197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,0.833333333333333,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.833333333333333,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,0.833333333333333,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.833333333333333,0.833333333333333,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,1,NA,0.833333333333333,0.833333333333333,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"t12202",1,1,1,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.833333333333333,NA,NA,NA,NA,NA,1,1,1,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,0.833333333333333,NA,NA,0.8,NA,NA,NA,NA,NA,0.833333333333333,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter","uncultured marine bacterium"
"t12206",NA,1,0.833333333333333,NA,1,NA,1,1,NA,NA,0.833333333333333,NA,0.833333333333333,0.833333333333333,NA,NA,1,NA,NA,1,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,1,1,0.833333333333333,NA,1,1,1,1,1,0.833333333333333,0.833333333333333,NA,NA,0.833333333333333,NA,NA,1,1,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,NA,1,0.833333333333333,NA,NA,NA,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,0.833333333333333,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,0.833333333333333,NA,0.833333333333333,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,0.833333333333333,NA,0.833333333333333,NA,NA,1,1,0.833333333333333,1,NA,NA,NA,NA,NA,1,1,1,1,0.833333333333333,NA,NA,NA,0.833333333333333,NA,NA,NA,0.833333333333333,NA,0.833333333333333,1,NA,0.833333333333333,NA,1,1,1,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333,1,NA,NA,1,1,1,1,NA,0.833333333333333,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"t12214",NA,1,0.833333333333333,NA,1,NA,1,1,NA,NA,1,NA,1,1,0.833333333333333,1,1,NA,1,0.833333333333333,1,0.833333333333333,0.833333333333333,0.833333333333333,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,0.833333333333333,0.833333333333333,NA,NA,NA,NA,NA,1,NA,NA,0.833333333333333,0.833333333333333,NA,NA,NA,NA,NA,1,0.833333333333333,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,0.833333333333333,1,NA,1,1,NA,NA,NA,NA,1,1,0.833333333333333,NA,NA,NA,NA,NA,1,1,0.833333333333333,0.8,1,1,NA,1,1,NA,0.8,1,NA,NA,NA,NA,NA,NA,1,1,NA,0.833333333333333,NA,NA,1,1,NA,NA,NA,NA,1,0.833333333333333,1,0.833333333333333,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0.833333333333333,NA,NA,0.833333333333333,0.833333333333333,1,0.833333333333333,NA,0.833333333333333,0.833333333333333,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333,1,NA,1,1,0.833333333333333,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",NA
"t12215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",NA
"t12218",1,1,0.833333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.8,1,NA,1,1,1,0.833333333333333,1,1,1,1,1,0.833333333333333,1,1,1,1,1,0.833333333333333,0.833333333333333,1,1,NA,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,NA,NA,1,NA,0.8,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.833333333333333,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter",NA
"t12219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter",NA
"t12220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.833333333333333,NA,1,1,1,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.833333333333333,0.833333333333333,0.833333333333333,NA,0.833333333333333,0.833333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"t12221",NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,0.833333333333333,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,0.833333333333333,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.833333333333333,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"t12234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,1,0.833333333333333,0.833333333333333,NA,1,NA,0.833333333333333,1,1,1,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,1,1,1,1,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.833333333333333,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Litorimicrobium","uncultured bacterium"
"t12235",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.8,NA,NA,NA,NA,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333,1,1,1,1,NA,1,1,1,1,1,1,0.833333333333333,NA,1,0.833333333333333,NA,1,1,1,1,1,1,0.833333333333333,1,1,NA,NA,1,NA,0.8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,0.8,0.833333333333333,NA,NA,1,1,NA,0.8,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.833333333333333,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,1,1,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0.833333333333333,1,0.833333333333333,1,NA,1,1,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"t12254",1,1,1,1,1,NA,1,0.833333333333333,0.833333333333333,NA,1,NA,1,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,0.833333333333333,0.833333333333333,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,1,0.833333333333333,NA,1,1,1,1,0.833333333333333,NA,0.833333333333333,0.8,0.833333333333333,1,0.833333333333333,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,0.833333333333333,1,1,1,NA,1,1,1,0.833333333333333,0.833333333333333,1,1,1,1,1,0.833333333333333,1,0.8,0.833333333333333,NA,1,0.833333333333333,0.833333333333333,1,1,0.833333333333333,1,1,NA,NA,NA,NA,0.833333333333333,1,1,1,1,0.833333333333333,1,1,1,0.833333333333333,NA,NA,NA,1,0.833333333333333,1,1,NA,1,NA,NA,1,0.833333333333333,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0.833333333333333,NA,NA,1,1,NA,NA,1,1,1,1,NA,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333,1,1,1,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter","Octadecabacter temperatus"
